,param_first_scale,param_frequency,param_model,param_model__alpha,param_reshape,param_second_scale,param_model__max_features,param_model__l2_regularization,param_model__learning_rate,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__n_components,nrmse
76,passthrough,power_phase_temporal,Ridge,2.848035868435805e-07,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.0726121199384004
77,passthrough,power_phase_temporal,Ridge,123284.67394420685,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,0.9930339794526772
78,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,0.18738174228603868,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,,1.3064280940135702
79,passthrough,power_phase_temporal,ExtraTreesRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,,,,,,0.9768771280399782
80,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.0,0.05,63.0,20.0,,0.9602118106552375
81,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.0,0.1,63.0,20.0,,0.9704557012559683
82,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.001,0.1,63.0,20.0,,0.9684533555110054
83,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.1,0.0,0.05,63.0,20.0,,0.9626034588993247
84,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.2,0.0,0.1,63.0,20.0,,0.972331692106551
85,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,0.05,0.001,0.1,63.0,20.0,,0.9730366512722306
86,passthrough,power_phase_temporal,PLSRegression(),,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),passthrough,nan,,,,,32.0,1.109953837976419
87,passthrough,power_phase_temporal,Ridge,151.99110829529332,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,4.752915417575799
88,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,0.0002310129700083158,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,1.5614255253475513
89,mad_scaling_clipping_channel_trial,power_phase_temporal,Ridge,100000000.0,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),nan,,,,,,0.9885483369183664
90,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.0,0.05,63.0,20.0,,0.9589480180786395
91,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.0,0.1,63.0,20.0,,0.9693958302175902
92,passthrough,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.001,0.05,63.0,20.0,,0.9597024702024278
93,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.05,0.0,0.05,63.0,20.0,,0.9658090098222841
94,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.1,0.0,0.1,63.0,20.0,,0.9715263044293888
95,mad_scaling_clipping_channel_trial,power_phase_temporal,HistGradientBoostingRegressor,,FunctionTransformer(func=<function reshape at 0x7ff949b58d60>),RobustScaler(),0.2,0.001,0.05,63.0,20.0,,0.9651150529796593
